reading_question_answer_choice_id ,reading_question_id ,answer_text                                                                 ,is_correct ,explanation
                               22 ,                  6 ,"Decrease all values"                                                       ,true       ,"Correct. Reducing RGB values decreases light intensity, making the color darker while maintaining its hue."
                               23 ,                  6 ,"Set all values to 0%"                                                      ,false      ,"Incorrect. Setting all values to 0 creates black, completely removing the original color."
                               24 ,                  6 ,"Set all values to 100%"                                                    ,false      ,"Incorrect. Setting all values to maximum creates white, losing the original color entirely."
                               25 ,                  7 ,"They only work with direct current"                                        ,false      ,"Incorrect. While LEDs do work with direct current, this isn't their fundamental distinguishing feature. Many LED systems can work with alternating current using adapters."
                               26 ,                  7 ,"They produce light through chemical reactions"                             ,false      ,"Incorrect. LEDs do not use chemical reactions to produce light. Chemical reactions occur in technologies like glow sticks, but not in LEDs."
                               27 ,                  7 ,"They efficiently convert electrical energy to light using semiconductors"  ,true       ,"Correct! LEDs use semiconductor materials to directly convert electrical energy into light through a process called electroluminescence. This direct conversion is fundamentally different from both incandescent bulbs (which heat a filament) and fluorescent lights (which use UV light and phosphor coatings)."
                               28 ,                  7 ,"They generate light by heating special gases"                              ,false      ,"Incorrect. Heating gases to produce light is characteristic of technologies like neon lights or plasma displays, not LEDs. LEDs use solid semiconductor materials, not gases."
                               29 ,                  8 ,"Bright, multi-color status indicators"                                     ,false      ,"Incorrect. While status indicators are useful, they aren't the most critical for precision manufacturing tasks where visual inspection is key."
                               30 ,                  8 ,"High-power infrared for distance sensing"                                  ,false      ,"Incorrect. Distance sensing is important for navigation and collision avoidance, but not as critical for precision manufacturing operations."
                               31 ,                  8 ,"Strobed, monochromatic lighting for machine vision"                        ,true       ,"Correct! Strobed monochromatic (single-color) lighting helps manufacturing robots capture clear images without motion blur. This is essential for precise inspection, measurement, and quality control in manufacturing."
                               32 ,                  8 ,"UV LEDs for material inspection"                                           ,false      ,"Incorrect. While UV LEDs are useful for specific inspection tasks like detecting certain materials or contaminants, they aren't the most versatile option for general precision manufacturing."
                               33 ,                  9 ,"To save power consumption"                                                 ,false      ,"Incorrect. While LEDs are energy-efficient, strobing them is mainly for improving vision quality, not saving power."
                               34 ,                  9 ,"To synchronize with camera captures and reduce motion blur"                ,true       ,"Correct! Strobed lighting flashes precisely when cameras take images, freezing motion and creating clearer pictures without blur. This is essential for accurate inspection of moving parts."
                               35 ,                  9 ,"To make the workspace brighter"                                            ,false      ,"Incorrect. Strobed lighting doesn't make the workspace brighter overall - it actually creates brief, intense flashes timed with cameras rather than constant brightness."
                               36 ,                  9 ,"To communicate with other robots"                                          ,false      ,"Incorrect. While robots can use light for communication, strobed lighting in manufacturing is primarily used for enhancing machine vision, not for robot-to-robot communication."
